time_index,maturity_i,maturity_j,covariance
2,30 Yr,3 Mo,0.001786102530353942
2,30 Yr,4 Mo,0.0017757199129850815
2,30 Yr,6 Mo,0.0032463019907229794
2,30 Yr,1 Yr,0.006246975434295427
2,30 Yr,2 Yr,0.01239309322627298
2,30 Yr,3 Yr,0.016182059126689317
2,30 Yr,5 Yr,0.01870996027944394
2,30 Yr,7 Yr,0.019498427923759085
2,30 Yr,10 Yr,0.01978694200946062
2,30 Yr,20 Yr,0.019762311805417286
2,30 Yr,30 Yr,0.019712303287944762
3,1 Mo,1 Mo,0.0709313300904625
3,1 Mo,2 Mo,0.012006302935199664
3,1 Mo,3 Mo,0.009288399919339154
3,1 Mo,4 Mo,0.008614950221988882
3,1 Mo,6 Mo,0.009254740112991672
3,1 Mo,1 Yr,0.007385028808789035
3,1 Mo,2 Yr,0.0034160744784385317
3,1 Mo,3 Yr,4.9771946682456807e-05
3,1 Mo,5 Yr,-0.0008149612835580347
3,1 Mo,7 Yr,-0.00025317154524691446
3,1 Mo,10 Yr,0.0008915758218143289
3,1 Mo,20 Yr,0.0014191431541648919
3,1 Mo,30 Yr,0.002201943382250105
3,2 Mo,1 Mo,0.012006302935199662
3,2 Mo,2 Mo,0.014102407687753974
3,2 Mo,3 Mo,0.00903513097671849
3,2 Mo,4 Mo,0.007822235846500816
3,2 Mo,6 Mo,0.0069721518918055446
3,2 Mo,1 Yr,0.00819917049061854
3,2 Mo,2 Yr,0.0069365879031566356
3,2 Mo,3 Yr,0.004565653919398287
3,2 Mo,5 Yr,0.0032177889291947824
3,2 Mo,7 Yr,0.0025813100935516854
3,2 Mo,10 Yr,0.002036679521980934
3,2 Mo,20 Yr,0.0008076613378611068
3,2 Mo,30 Yr,0.0008223492952849501
3,3 Mo,1 Mo,0.009288399919339154
3,3 Mo,2 Mo,0.00903513097671849
3,3 Mo,3 Mo,0.008281266534883779
3,3 Mo,4 Mo,0.006320501907221947
3,3 Mo,6 Mo,0.006204517740615455
3,3 Mo,1 Yr,0.006445499137652608
3,3 Mo,2 Yr,0.005500122874338554
3,3 Mo,3 Yr,0.0037165397259044247
3,3 Mo,5 Yr,0.0029611146204445086
3,3 Mo,7 Yr,0.002530803499483875
3,3 Mo,10 Yr,0.00225801331499327
3,3 Mo,20 Yr,0.001723063443546812
3,3 Mo,30 Yr,0.0017631650018649471
3,4 Mo,1 Mo,0.008614950221988882
3,4 Mo,2 Mo,0.007822235846500818
3,4 Mo,3 Mo,0.006320501907221947
3,4 Mo,4 Mo,0.006720718064648479
3,4 Mo,6 Mo,0.006423436292293631
3,4 Mo,1 Yr,0.0072650824274100205
